"WKT"
"MULTILINESTRING ((1401599.2383330488 -711422.63731489109,1401505.7859256144 -711261.96588067547))"
"MULTILINESTRING ((1398527.2539404742 -702262.20285246626,1398468.1398920324 -702225.38820875029,1398438.6675914463 -702253.24423573073))"
"MULTILINESTRING ((1397560.9373607275 -703530.86233425455,1397448.2791695693 -703675.9360818615))"
"MULTILINESTRING ((1400183.2556333239 -708205.40437719622,1400184.2866906123 -708119.44493609702,1400124.1633970849 -708108.69693366694))"
"MULTILINESTRING ((1399603.7940522349 -705492.52074889862,1399615.2936012526 -705417.86774077138))"
"MULTILINESTRING ((1399327.858583841 -704901.50474344334,1399377.6249502029 -705104.57787514012))"
"MULTILINESTRING ((1401126.3780002384 -707814.30809298193,1401009.0623833886 -707702.69656778569))"
"MULTILINESTRING ((1400393.7733591006 -707134.64986024669,1400374.264974704 -707091.52849354409))"
"MULTILINESTRING ((1398583.0592859655 -705844.60870575672,1398555.8610416858 -705787.172811436))"
"MULTILINESTRING ((1400161.7523186987 -704098.87615787901,1400575.6145681697 -705098.93010619911))"
"MULTILINESTRING ((1398136.195503864 -702759.8306799389,1398150.1552178478 -702837.68230653158))"
"MULTILINESTRING ((1398228.2321297263 -702325.59515933204,1398228.6568126923 -702255.95733353577,1398353.6826924374 -702234.56670983124))"
"MULTILINESTRING ((1400424.5362866779 -705941.84239149536,1400289.5921937053 -706005.86358593474))"
"MULTILINESTRING ((1400214.6552242166 -711984.16767737933,1400488.9715423097 -712137.83964393218))"
"MULTILINESTRING ((1398678.6672193976 -702507.38485423813,1398739.5858615963 -702816.50606496376,1399060.2745579651 -703723.45981867658))"
"MULTILINESTRING ((1399540.7520013009 -704307.33397909056,1399291.1106290938 -704350.78871399176))"
"MULTILINESTRING ((1398847.6295025321 -703753.05640923535,1398839.8675774918 -703661.09967002727,1398954.9301331672 -703638.57048626873))"
"MULTILINESTRING ((1402321.1664362741 -711665.94713872112,1402335.7417644262 -711663.2012491161))"
"MULTILINESTRING ((1399872.9393264072 -705883.69721987762,1400174.9729786227 -705832.99127781822))"
"MULTILINESTRING ((1398242.0314139095 -706993.20588405605,1398223.5748202093 -706978.23735095817))"
"MULTILINESTRING ((1397972.2118359169 -702430.11927839357,1397986.7485030158 -702385.71852258977))"
"MULTILINESTRING ((1400804.1865954301 -709851.15168525418,1400633.9805669498 -709905.80497974367))"
"MULTILINESTRING ((1402121.0432796737 -711431.13122560491,1402130.5509619617 -711441.535054615))"
"MULTILINESTRING ((1398446.8660805454 -702811.50282384164,1398471.4236483977 -702909.0770281842))"
"MULTILINESTRING ((1397980.670752716 -706402.19006999873,1398050.2165377473 -706368.52032184147,1398116.7579793872 -706453.64628873428,1398094.8624547538 -706577.11984648963,1398040.8176387411 -706552.0217526285,1397980.670752716 -706402.19006999873))"
"MULTILINESTRING ((1399823.5182058113 -706109.87089007243,1399810.7202297191 -706142.12771509099))"
"MULTILINESTRING ((1400160.8007724865 -707616.61209708441,1400192.271771939 -707874.78284328582))"
"MULTILINESTRING ((1401647.752766046 -707821.29519058007,1401732.7826384786 -707962.04964526044))"
"MULTILINESTRING ((1400287.3129467443 -710173.32060769992,1400290.8867356707 -710057.97205166239))"
"MULTILINESTRING ((1401106.2786015298 -707669.35125902214,1401155.6818024169 -707656.52875872352))"
"MULTILINESTRING ((1400047.4376434588 -706168.73490527016,1400115.3712110368 -706139.32364727545))"
"MULTILINESTRING ((1402417.7004489037 -709702.51006191294,1402319.4387792794 -709737.56728420523))"
"MULTILINESTRING ((1398183.06865772 -701738.12813993299,1398205.1102317832 -701731.2863900509))"
"MULTILINESTRING ((1399136.7649109876 -706658.29817739315,1399012.7097414434 -706636.06160218641))"
"MULTILINESTRING ((1399191.8670606026 -705152.03189050383,1399109.3554214281 -705184.19809814903))"
"MULTILINESTRING ((1400123.7185093637 -705963.91172875103,1400103.527862346 -705867.5029356723))"
"MULTILINESTRING ((1398239.0639294235 -705863.56405860523,1398333.650375739 -705829.77297822398))"
"MULTILINESTRING ((1399757.2172264776 -704870.99055611866,1399737.7615360504 -704922.30792198447))"
"MULTILINESTRING ((1397639.3464179025 -703480.50165420817,1397601.5390241172 -703430.8549088561))"
"MULTILINESTRING ((1401257.6324301106 -708776.20299397735,1401138.310610895 -708914.24688691297))"
"MULTILINESTRING ((1401138.310610895 -708914.24688691297,1401119.9561987002 -709012.81269703968))"
"MULTILINESTRING ((1399026.949106375 -704059.85552476929,1399044.1856648885 -704036.71104644402))"
"MULTILINESTRING ((1401505.7859256144 -711261.96588067547,1401351.6049140617 -711143.03336263355))"
"MULTILINESTRING ((1398044.8562344683 -701907.2796309886,1398069.6214595903 -701871.31271000393))"
"MULTILINESTRING ((1400745.0151121831 -710483.86521371244,1400637.4225425289 -710718.03421814716))"
"MULTILINESTRING ((1401309.7099346006 -712576.78842964617,1401267.0289355761 -712589.84254411515))"
"MULTILINESTRING ((1398860.2737197585 -702083.33258472232,1398887.9777363422 -702465.02185548318,1398999.9537736636 -702610.60877182137,1399123.173741617 -702639.16047830076))"
"MULTILINESTRING ((1400732.4614251684 -714109.15496443294,1400829.4441557419 -714114.38255688257))"
"MULTILINESTRING ((1398255.7044029604 -705354.182660455,1398155.3448955612 -705372.77540387807))"
"MULTILINESTRING ((1396451.4018360185 -702993.48878392472,1396530.4649419126 -703232.25754102122,1396491.4729799957 -703279.55211432884,1396522.8625198689 -703422.88146165351))"
"MULTILINESTRING ((1396402.9029099732 -702695.73363526922,1396319.341242352 -702726.40076084877,1396239.0369264598 -702685.43628901034))"
"MULTILINESTRING ((1398364.5213040337 -703678.79563550116,1398327.9724239337 -703477.03418412874))"
"MULTILINESTRING ((1396458.261107255 -702347.02485134674,1396447.4065647428 -702621.92822071025,1396402.9029099732 -702695.73363526922))"
"MULTILINESTRING ((1401562.0193469189 -707849.36164797959,1401361.6154930037 -707914.85499613849))"
"MULTILINESTRING ((1399594.9127949274 -704658.70489069598,1399464.0624733679 -704682.58108995273))"
"MULTILINESTRING ((1399062.6990607206 -701993.29179815226,1399045.7420504042 -702125.05660056078,1398860.2737197585 -702083.33258472232))"
"MULTILINESTRING ((1399286.3518887535 -705582.23726457241,1399272.1390086771 -705709.3485305825))"
"MULTILINESTRING ((1399176.2053126888 -705059.34214713459,1399054.135393607 -705117.67076301749))"
"MULTILINESTRING ((1398267.8824609104 -701801.87810201338,1398241.0760684467 -701807.52050565288))"
"MULTILINESTRING ((1398257.9818814227 -701893.4225350722,1398236.242723139 -701884.27779435157))"
"MULTILINESTRING ((1399036.7952158535 -705534.24194770353,1399053.9625481339 -705747.59150164074))"
"MULTILINESTRING ((1397188.7253747075 -702914.32390006422,1397231.3558606359 -702919.71798727789))"
"MULTILINESTRING ((1399030.8078954332 -704396.86851879372,1399055.6259947689 -704534.97303882404))"
"MULTILINESTRING ((1401394.9879362651 -708730.63554397447,1401400.4173080907 -708693.33872331912))"
"MULTILINESTRING ((1400576.9618365078 -706273.28386386472,1400549.9392053089 -706266.12483200605))"
"MULTILINESTRING ((1400503.0201680232 -706462.49180022057,1400529.4599839489 -706545.10980811669))"
"MULTILINESTRING ((1398498.595235941 -704850.6874947889,1398427.4954009813 -704863.85894491349,1398424.6981643185 -704936.79025239486))"
"MULTILINESTRING ((1400108.5163923856 -708915.62849353801,1400177.0083819653 -709200.82570234477))"
"MULTILINESTRING ((1378291.690300748 -719326.94212673476,1378286.4733047839 -719229.23865043221,1378184.7767300806 -719258.48600264767))"
"MULTILINESTRING ((1378927.0369194059 -730031.30648985144,1378955.4406222405 -730089.63368393912,1378908.3686601005 -730046.53092784341))"
"MULTILINESTRING ((1376397.0940145082 -726625.88189088006,1376463.5854876898 -726635.46519740159))"
"MULTILINESTRING ((1382241.8181851006 -719986.32663948636,1382210.2042524898 -719923.86186452536))"
"MULTILINESTRING ((1378231.4089216883 -722677.60227762419,1378187.7607242859 -722759.86619274819))"
"MULTILINESTRING ((1380426.8074344799 -721979.30633380893,1380384.6545578374 -721804.75880425237,1380271.3618166212 -721831.5569172753))"
"MULTILINESTRING ((1379769.5084215826 -720419.2717095163,1379763.3036888626 -720440.85429109575))"
"MULTILINESTRING ((1379415.4653036303 -731175.65216001647,1379459.5609895559 -731189.78589253849))"
"MULTILINESTRING ((1381548.9459255354 -720003.12741052709,1381574.4077059212 -720063.02556342562))"
"MULTILINESTRING ((1379115.7811178691 -730856.53984239127,1379139.0277090401 -730783.59606833069))"
"MULTILINESTRING ((1379496.7332159241 -718747.07004605292,1379357.0273641273 -718789.95502079139))"
"MULTILINESTRING ((1380156.6297156513 -719945.89581141132,1379838.9416801988 -719833.62392518669,1379672.2905992984 -719840.22862752154))"
"MULTILINESTRING ((1381548.9459255354 -720003.12741052709,1381512.6409061551 -720041.20790905587))"
"MULTILINESTRING ((1376886.0787583473 -723668.9632007709,1376927.9681610847 -723614.26647208398))"
"MULTILINESTRING ((1376116.6511791546 -726624.57217354514,1376119.520215237 -726654.54193033278))"
"MULTILINESTRING ((1379783.8168783372 -720423.07206084591,1379769.5084215826 -720419.2717095163))"
"MULTILINESTRING ((1383805.4598691349 -720195.26568259066,1383789.959426777 -720255.28601050773,1383719.4957110106 -720256.35999420378,1383700.8424854132 -720169.0402061448))"
"MULTILINESTRING ((1382014.4784063192 -722766.91367095313,1381925.4405595881 -722896.52182099037,1381941.6893013525 -722980.46352709434))"
"MULTILINESTRING ((1381344.2770454744 -720723.32331658562,1381437.7863120397 -720737.82999145577))"
"MULTILINESTRING ((1379575.4470137425 -729689.27864039491,1379563.6065025516 -729719.11536772398))"
"MULTILINESTRING ((1379347.0220697739 -722996.08935513021,1379718.0860008143 -722960.81395147066))"
"MULTILINESTRING ((1382514.4093807463 -723075.81990008126,1382358.3793189123 -722754.88682753849))"
"MULTILINESTRING ((1381222.9266241034 -719734.82806433213,1381221.0450706526 -719774.88570644334))"
"MULTILINESTRING ((1382305.6519230641 -719756.96666801698,1382319.9282238642 -719578.93151737377))"
"MULTILINESTRING ((1381104.5092539319 -719725.69539003063,1381123.336246972 -719727.1473923208))"
"MULTILINESTRING ((1383135.0898387546 -720293.85566192993,1382988.6338380231 -720295.21712441929))"
"MULTILINESTRING ((1387165.2702484319 -724899.15611445799,1387143.8299463252 -724870.80111161643))"
"MULTILINESTRING ((1378830.0974349217 -718995.4509481868,1378820.3166276277 -719005.21572734078))"
"MULTILINESTRING ((1379391.8548397943 -725012.97829613357,1378987.5386382954 -725451.72944742313))"
"MULTILINESTRING ((1381226.9778703873 -720339.62916076428,1381306.1436715592 -720283.54485243186))"
"MULTILINESTRING ((1386201.4862259089 -724157.56971436215,1386075.9946317398 -724165.29053391831))"
"MULTILINESTRING ((1378017.9969379981 -720867.27310808667,1378040.5432290831 -721013.72682632145))"
"MULTILINESTRING ((1380748.7912671219 -720125.49970811931,1380821.0800622785 -720215.73686365213,1381026.9695185516 -720212.66494311008,1381172.1623623022 -720278.61727426888))"
"MULTILINESTRING ((1400287.3129467443 -710173.32060769992,1400185.0043927382 -710195.25257870636,1400154.6493057793 -710293.73641146813))"
"MULTILINESTRING ((1399497.1745483577 -706130.35400150565,1399513.1361440625 -706078.76025396574))"
"MULTILINESTRING ((1398744.3764570726 -705129.92415023083,1398821.6666846164 -705218.45397269388,1398898.3452370588 -705203.575838833))"
"MULTILINESTRING ((1397986.7485030158 -702385.71852258977,1398021.8357303636 -702372.81063400349))"
"MULTILINESTRING ((1399053.9625481339 -705747.59150164074,1399048.5257564641 -705745.44571911066))"
"MULTILINESTRING ((1397246.8583400242 -705454.83739947074,1397156.3382206315 -705589.2975800609,1397074.1963196637 -705598.59438049735,1397044.8847150565 -705508.3953953319,1397161.1184111107 -705409.91252258501))"
"MULTILINESTRING ((1399913.0010301641 -706066.40264893125,1400042.8770588269 -706660.49724997324))"
"MULTILINESTRING ((1400135.2103704005 -708764.33688377799,1400139.7646274331 -708903.14404484851))"
"MULTILINESTRING ((1400474.2923070779 -705708.57018275512,1400466.7935181325 -705845.67644925322))"
"MULTILINESTRING ((1397199.1954737573 -705439.02871028718,1397161.1184111107 -705409.91252258501))"
"MULTILINESTRING ((1399491.5269029129 -706150.77701045561,1399388.1930271932 -706121.16847085359))"
"MULTILINESTRING ((1398404.4411180785 -703466.1180326154,1398375.0345840349 -703310.46370554005))"
"MULTILINESTRING ((1400161.7523186987 -704098.87615787901,1400020.7653552075 -704165.35298674519))"
"MULTILINESTRING ((1400167.8421921823 -706594.37800520996,1400185.3891136302 -706557.04770917678))"
"MULTILINESTRING ((1398028.981344722 -702106.28565455275,1397985.4727876897 -702167.14461551816))"
"MULTILINESTRING ((1400420.0385437147 -707464.30293152214,1400348.4118979811 -707523.28550415358,1400351.3482541493 -707656.976305319))"
"MULTILINESTRING ((1398102.5991562288 -704178.97573865112,1398228.7794499183 -704168.54384962865,1398248.3845491877 -704222.70642901014))"
"MULTILINESTRING ((1399913.0010301641 -706066.40264893125,1400118.1134577584 -706074.2409111067))"
"MULTILINESTRING ((1398285.0331528606 -706155.34657180624,1398329.718056652 -706246.21098100569))"
"MULTILINESTRING ((1399705.8294502385 -702994.49110902462,1400021.7123579003 -703759.60284981609))"
"MULTILINESTRING ((1400030.1979736339 -709541.51383887127,1399892.660424209 -709588.89705019828,1399898.6174121653 -709758.54056805524))"
"MULTILINESTRING ((1398619.787888027 -710124.79924545379,1399080.9699612122 -710043.38484939851))"
"MULTILINESTRING ((1400247.6934406627 -706110.08882271708,1400256.5674542554 -706064.93445609382))"
"MULTILINESTRING ((1410030.8908929559 -729682.36328651686,1409975.0237895953 -729701.51422632358))"
